day,region_id,susceptible,infected,recovered,dead
38,4,5099999,0,1,0
38,5,2699999,0,1,0
38,6,2399999,0,1,0
38,7,2199999,0,1,0
38,8,2199999,0,1,0
38,9,1999999,0,1,0
38,10,1499999,0,1,0
38,11,1299999,0,1,0
38,12,999999,0,1,0
38,13,1199999,0,1,0
38,14,1049999,0,1,0
38,15,659999,0,1,0
38,16,579999,0,1,0
38,17,319999,0,1,0
38,18,84999,0,1,0
38,19,86999,0,1,0
39,1,8469999,0,1,0
39,2,7799999,0,1,0
39,3,6759999,0,1,0
39,4,5099999,0,1,0
39,5,2699999,0,1,0
39,6,2399999,0,1,0
39,7,2199999,0,1,0
39,8,2199999,0,1,0
39,9,1999999,0,1,0
39,10,1499999,0,1,0
39,11,1299999,0,1,0
39,12,999999,0,1,0
39,13,1199999,0,1,0
39,14,1049999,0,1,0
39,15,659999,0,1,0
39,16,579999,0,1,0
39,17,319999,0,1,0
39,18,84999,0,1,0
39,19,86999,0,1,0
40,1,8469999,0,1,0
40,2,7799999,0,1,0
40,3,6759999,0,1,0
40,4,5099999,0,1,0
40,5,2699999,0,1,0
40,6,2399999,0,1,0
40,7,2199999,0,1,0
40,8,2199999,0,1,0
40,9,1999999,0,1,0
40,10,1499999,0,1,0
40,11,1299999,0,1,0
40,12,999999,0,1,0
40,13,1199999,0,1,0
40,14,1049999,0,1,0
40,15,659999,0,1,0
40,16,579999,0,1,0
40,17,319999,0,1,0
40,18,84999,0,1,0
40,19,86999,0,1,0
41,1,8469999,0,1,0
41,2,7799999,0,1,0
41,3,6759999,0,1,0
41,4,5099999,0,1,0
41,5,2699999,0,1,0
41,6,2399999,0,1,0
41,7,2199999,0,1,0
41,8,2199999,0,1,0
41,9,1999999,0,1,0
41,10,1499999,0,1,0
41,11,1299999,0,1,0
41,12,999999,0,1,0
41,13,1199999,0,1,0
41,14,1049999,0,1,0
41,15,659999,0,1,0
41,16,579999,0,1,0
41,17,319999,0,1,0
41,18,84999,0,1,0
41,19,86999,0,1,0
42,1,8469999,0,1,0
42,2,7799999,0,1,0
42,3,6759999,0,1,0
42,4,5099999,0,1,0
42,5,2699999,0,1,0
42,6,2399999,0,1,0
42,7,2199999,0,1,0
42,8,2199999,0,1,0
42,9,1999999,0,1,0
42,10,1499999,0,1,0
42,11,1299999,0,1,0
42,12,999999,0,1,0
42,13,1199999,0,1,0
42,14,1049999,0,1,0
42,15,659999,0,1,0
42,16,579999,0,1,0
42,17,319999,0,1,0
42,18,84999,0,1,0
42,19,86999,0,1,0
43,1,8469999,0,1,0
43,2,7799999,0,1,0
43,3,6759999,0,1,0
43,4,5099999,0,1,0
43,5,2699999,0,1,0
43,6,2399999,0,1,0
43,7,2199999,0,1,0
43,8,2199999,0,1,0
43,9,1999999,0,1,0
43,10,1499999,0,1,0
43,11,1299999,0,1,0
43,12,999999,0,1,0
43,13,1199999,0,1,0
43,14,1049999,0,1,0
43,15,659999,0,1,0
43,16,579999,0,1,0
43,17,319999,0,1,0
43,18,84999,0,1,0
43,19,86999,0,1,0
44,1,8469999,0,1,0
44,2,7799999,0,1,0
44,3,6759999,0,1,0
44,4,5099999,0,1,0
44,5,2699999,0,1,0
44,6,2399999,0,1,0
44,7,2199999,0,1,0
44,8,2199999,0,1,0
44,9,1999999,0,1,0
44,10,1499999,0,1,0
44,11,1299999,0,1,0
44,12,999999,0,1,0
44,13,1199999,0,1,0
